PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n,UserType_n
1,59000000,60000000,55000000,150.0,2,2,10,1,2,1
1,32000000,40000000,30000000,375.0,2,2,8,1,2,1
1,16500000,17000000,15000000,318.0,2,2,26,1,2,1
1,3850000,4200000,4000000,224.0,2,2,15,1,2,1
1,4950000,5000000,5100000,224.0,2,2,15,1,2,1
1,1800000,2000000,2500000,220.0,2,2,12,1,2,1
1,2700000,2000000,2500000,150.0,1,2,18,3,2,1
1,2150000,3000000,3500000,140.0,1,3,5,1,2,1
1,5000000,5100000,5100000,224.0,1,2,11,3,0,1
1,2100000,2140000,2140000,90.0,1,2,2,1,0,1
1,3380000,3500000,3500000,184.0,2,3,2,3,0,1
1,12800000,12900000,12900000,104.0,2,3,2,1,3,1
2,12650000,12700000,12680000,62.0,6,2,6,3,0,1
2,5100000,51100000,51100000,103.0,6,2,6,3,0,1
2,6020000,6030000,6030000,29.2,3,2,4,3,3,1
1,34000000,34500000,34700000,105.0,1,3,1,3,3,1
1,4500000,2000000,3100000,100.0,2,2,14,4,3,1
1,2000000,2000000,3000000,200.0,1,2,27,1,1,1
1,4000000,5000000,4500000,100.0,2,2,15,1,3,1
1,2000000,2300000,2500000,116.0,2,2,21,1,3,1
0,1000000,2000000,1000000,29.0,5,3,5,1,3,1
1,2000000,2400000,2300000,51.0,1,2,4,1,3,1
1,24000000,24000000,24000000,74.8,3,2,3,1,0,1
2,3000000,2000000,3000000,120.0,3,3,10,4,2,1
1,1000000,1500000,1700000,156.0,1,2,10,1,2,1
1,1000000,1500000,1300000,80.0,1,3,3,1,2,1
1,2300000,2500000,2500000,0.0,2,3,1,1,2,1
1,2000000,2100000,2200000,2.0,2,1,60,1,2,1
1,2000000,3000000,5000000,50.0,2,3,8,1,0,1
1,1400000,2000000,2000000,130.0,1,3,2,1,1,1
1,1500000,1200000,1300000,130.0,2,2,3,1,2,1
1,1500000,1300000,1500000,30.0,2,3,0,1,0,1
1,1390000,1500000,2000000,240.0,1,2,17,1,2,1
1,4190000,5000000,4500000,284.0,2,3,15,1,2,1
1,11500000,15000000,10000000,240.0,2,3,4,1,2,1
1,3300000,2000000,2500000,160.0,2,2,19,1,2,1
1,1790000,1800000,1800000,51.0,1,3,1,1,3,1
1,199000,2010000,2000000,100.0,0,3,1,1,3,1
1,2000000,1500000,3000000,200.0,2,3,1,3,3,1
1,2000000,2500000,2500000,50.0,2,3,2,3,3,1
0,10550000,11200000,10600000,55.0,12,3,2,1,3,1
2,5175000,5000000,5500000,300.0,3,2,10,3,2,1
2,6075000,5500000,6500000,370.0,3,2,12,1,1,1
0,4710000,5000000,4900000,36.0,6,2,13,3,3,1
1,2000000,2400000,2100000,200.0,2,3,1,1,3,1
0,1520000,1900000,1860000,31.0,2,3,5,1,3,1
0,1050000,1140000,1130000,35.0,5,2,18,3,3,1
2,4900000,5000000,5200000,162.0,3,2,22,0,3,1
0,1490000,1500000,1600000,30.0,6,3,3,1,3,1
0,1750000,1800000,1800000,30.0,5,3,4,1,3,1
0,2000000,21000000,2300000,23.0,5,3,5,1,3,1
0,1430000,1300000,1700000,34.0,5,2,11,1,3,1
1,3000000,4000000,5000000,300.0,2,2,17,1,3,1
1,2000000,3000000,4000000,129.0,1,2,11,2,0,1
2,2000000,2100000,2300000,240.0,2,3,7,1,3,1
2,2000000,1900000,2400000,76.8,4,2,13,1,0,1
2,6900000,7000000,7000000,56.0,3,2,16,0,3,1
2,5000000,4000000,4000000,50.0,2,2,13,0,1,1
